0 229000 2722280 5.3
1 229040 2722280 6.08
2 229080 2722280 6.33
3 229120 2722280 7.42
4 229160 2722280 7.42
5 229200 2722280 7.78
6 229240 2722280 7.78
7 229280 2722280 7.72
8 229320 2722280 7.72
9 229360 2722280 8.03
10 229400 2722280 11
11 229440 2722280 12.27
12 229480 2722280 14.28
13 229520 2722280 10.51
14 229560 2722280 9.18
15 229600 2722280 9.18
16 229640 2722280 9.3
17 229680 2722280 8.57
18 229720 2722280 8.51
19 229760 2722280 8.21
20 229800 2722280 10.51
21 229840 2722280 11.48
22 229880 2722280 11.48
23 229920 2722280 11.61
24 229960 2722280 11.61
25 230000 2722280 11.91
26 230040 2722280 12.03
27 230080 2722280 11.79
28 230120 2722280 9.48
29 230160 2722280 10.27
30 230200 2722280 10.27
31 230240 2722280 10.57
32 230280 2722280 10.88
33 230320 2722280 10.88
34 230360 2722280 11.48
35 230400 2722280 11.73
36 230440 2722280 11.48
37 230480 2722280 11.79
38 230520 2722280 11.3
39 230560 2722280 11.42
40 230600 2722280 11.42
41 230640 2722280 11.48
42 230680 2722280 11.48
43 230720 2722280 11.73
44 230760 2722280 11.79
45 230800 2722280 11.61
46 230840 2722280 11.61
47 230880 2722280 11.91
48 230920 2722280 12.52
49 230960 2722280 12.88
50 231000 2722280 13.73
51 231040 2722280 13.91
52 231080 2722280 14.09
53 231120 2722280 14.28
54 231160 2722280 14.4
55 231200 2722280 14.58
56 231240 2722280 15.19
57 231280 2722280 16.22
58 229000 2722240 4.33
59 229040 2722240 4.33
60 229080 2722240 4.99
61 229120 2722240 5.78
62 229160 2722240 6.33
63 229200 2722240 6.51
64 229240 2722240 7.78
65 229280 2722240 8.03
66 229320 2722240 7.72
67 229360 2722240 7.72
68 229400 2722240 7.78
69 229440 2722240 7.6
70 229480 2722240 9.91
71 229520 2722240 13.49
72 229560 2722240 14.4
73 229600 2722240 10.03
74 229640 2722240 9.3
75 229680 2722240 9.72
76 229720 2722240 8.69
77 229760 2722240 8.39
78 229800 2722240 8.21
79 229840 2722240 11.12
80 229880 2722240 11.3
81 229920 2722240 11.3
82 229960 2722240 11.61
83 230000 2722240 11.91
84 230040 2722240 12.09
85 230080 2722240 12.52
86 230120 2722240 11.48
87 230160 2722240 9.91
88 230200 2722240 10.51
89 230240 2722240 10.7
90 230280 2722240 10.82
